"ModuloMSP","Site","ModeID","CategoryID","TechID","ChargeMinutes"
1,301,3,301,105,0
2,301,3,301,694,1380
1,301,3,301,694,300
3,301,3,301,105,180
2,3,3,301,105,480
2,301,3,301,694,540
4,301,3,301,105,900
2,301,3,301,694,300
5,301,3,301,694,1200
5,301,3,301,694,600
2,301,3,301,694,480
1,301,3,301,694,600
5,301,3,301,105,300
4,301,3,301,694,1080
1,301,3,301,694,480
2,301,3,301,105,1200
2,301,3,301,694,540
1,301,3,301,694,540
6,301,3,301,694,420
2,301,3,301,694,240
1,301,3,301,694,600
1,7,3,301,694,1200
2,301,3,301,105,300
4,301,3,14,694,720
5,4,1,301,694,660
2,301,3,301,105,1140
1,4,3,301,694,660
7,8,3,301,105,480
1,301,3,301,694,1080
4,301,3,14,694,1800
1,301,3,301,105,180
5,3,3,301,694,540
1,301,3,301,105,180
8,301,3,301,105,300
1,301,3,301,105,360
4,301,3,14,694,600
4,301,3,14,694,1020
4,301,3,301,105,240
2,3,1,301,694,780
8,301,3,301,105,900
1,3,3,301,694,720
1,4,3,301,694,780
1,301,3,301,105,240
1,301,3,301,694,240
8,301,3,301,694,600
6,301,3,301,105,240
2,301,3,301,105,120
1,301,3,301,694,600
2,301,3,301,105,480
1,7,3,301,694,540
6,301,3,301,105,300
1,301,3,301,105,240
2,301,3,301,105,180
1,301,3,301,694,420
1,301,3,301,694,120
1,301,3,301,105,420
1,301,3,301,105,420
1,301,3,301,694,720
1,301,3,301,105,180
5,301,3,301,694,240
5,301,3,301,694,180
1,301,3,301,694,120
4,301,3,301,694,480
1,301,3,301,694,60
4,301,3,301,694,360
8,7,3,301,694,900
2,4,3,301,694,120
1,301,3,301,105,300
4,301,3,301,105,1080
7,301,3,301,105,240
1,301,3,301,694,840
1,301,3,301,694,420
2,301,3,301,694,300
1,301,3,301,694,300
6,301,3,301,694,480
1,301,3,301,694,780
9,301,1,301,694,420
10,301,1,301,694,660
1,301,3,301,694,2700
1,4,3,301,694,660
11,4,3,301,105,3600
5,301,3,301,694,1920
1,301,3,301,105,360
6,301,3,301,105,240
8,301,3,301,694,360
1,301,3,301,105,300
1,301,3,301,105,240
6,5,2,301,694,1500
1,301,3,301,694,720
1,301,3,301,105,1800
1,301,3,301,105,240
1,301,3,301,105,300
12,301,3,301,694,1140
2,301,3,301,105,480
4,301,3,301,105,240
1,301,3,301,694,480
1,301,3,301,694,900
8,301,3,301,105,480
1,301,3,301,694,660
5,301,3,301,105,480
2,301,3,301,694,720
2,301,3,301,105,420
1,301,3,301,694,840
1,301,3,301,694,1140
4,4,3,301,105,180
1,4,3,301,694,720
1,301,3,301,694,180
5,301,3,301,105,480
1,5,3,301,694,780
1,5,3,301,105,240
1,4,3,301,694,1140
1,301,3,301,105,360
1,7,3,301,694,1440
2,8,3,301,105,180
1,4,3,301,694,480
1,301,3,301,694,360
6,301,3,301,694,240
2,301,3,301,694,120
5,4,1,301,694,300
1,301,3,301,694,120
7,4,2,301,694,60
2,301,1,301,694,60
6,3,3,301,694,60
1,301,3,301,694,180
6,6,3,301,694,180
1,301,3,301,694,720
2,301,2,301,694,1260
1,301,1,301,694,480
13,301,3,301,105,120
7,301,3,301,105,900
1,4,3,301,105,420
10,301,3,301,694,1020
